pad,side,layer,front_pin,x,y,w,h,edge_y,pad_bottom,pad_top
214,back,Bottom,70,62.0,1.425,0.6,2.35,0.0,0.25,2.6
215,back,Bottom,71,62.85,1.425,0.6,2.35,0.0,0.25,2.6
216,back,Bottom,72,63.7,1.425,0.6,2.35,0.0,0.25,2.6
217,back,Bottom,73,64.55,1.425,0.6,2.35,0.0,0.25,2.6
218,back,Bottom,74,65.4,1.425,0.6,2.35,0.0,0.25,2.6
219,back,Bottom,75,66.25,1.425,0.6,2.35,0.0,0.25,2.6
220,back,Bottom,76,67.1,1.425,0.6,2.35,0.0,0.25,2.6
221,back,Bottom,77,67.95,1.425,0.6,2.35,0.0,0.25,2.6
222,back,Bottom,78,73.9,1.425,0.6,2.35,0.0,0.25,2.6
223,back,Bottom,79,74.75,1.425,0.6,2.35,0.0,0.25,2.6
224,back,Bottom,80,75.6,1.425,0.6,2.35,0.0,0.25,2.6
225,back,Bottom,81,76.45,1.425,0.6,2.35,0.0,0.25,2.6
226,back,Bottom,82,77.3,1.425,0.6,2.35,0.0,0.25,2.6
227,back,Bottom,83,78.15,1.425,0.6,2.35,0.0,0.25,2.6
228,back,Bottom,84,79.0,1.425,0.6,2.35,0.0,0.25,2.6
229,back,Bottom,85,79.85,1.425,0.6,2.35,0.0,0.25,2.6
230,back,Bottom,86,80.7,1.425,0.6,2.35,0.0,0.25,2.6
231,back,Bottom,87,81.55,1.425,0.6,2.35,0.0,0.25,2.6
232,back,Bottom,88,82.4,1.425,0.6,2.35,0.0,0.25,2.6
233,back,Bottom,89,83.25,1.425,0.6,2.35,0.0,0.25,2.6
234,back,Bottom,90,84.1,1.425,0.6,2.35,0.0,0.25,2.6
235,back,Bottom,91,84.95,1.425,0.6,2.35,0.0,0.25,2.6
236,back,Bottom,92,85.8,1.425,0.6,2.35,0.0,0.25,2.6
237,back,Bottom,93,86.65,1.425,0.6,2.35,0.0,0.25,2.6
238,back,Bottom,94,87.5,1.425,0.6,2.35,0.0,0.25,2.6
239,back,Bottom,95,88.35,1.425,0.6,2.35,0.0,0.25,2.6
240,back,Bottom,96,89.2,1.425,0.6,2.35,0.0,0.25,2.6
241,back,Bottom,97,90.05,1.425,0.6,2.35,0.0,0.25,2.6
242,back,Bottom,98,90.9,1.425,0.6,2.35,0.0,0.25,2.6
243,back,Bottom,99,91.75,1.425,0.6,2.35,0.0,0.25,2.6
244,back,Bottom,100,92.6,1.425,0.6,2.35,0.0,0.25,2.6
245,back,Bottom,101,93.45,1.425,0.6,2.35,0.0,0.25,2.6
246,back,Bottom,102,94.3,1.425,0.6,2.35,0.0,0.25,2.6
247,back,Bottom,103,95.15,1.425,0.6,2.35,0.0,0.25,2.6
248,back,Bottom,104,96.0,1.425,0.6,2.35,0.0,0.25,2.6
249,back,Bottom,105,96.85,1.425,0.6,2.35,0.0,0.25,2.6
250,back,Bottom,106,97.7,1.4458,0.6,2.3083,0.0417,0.2917,2.6
251,back,Bottom,107,98.55,1.4667,0.6,2.2667,0.0833,0.3333,2.6
252,back,Bottom,108,99.4,1.4875,0.6,2.225,0.125,0.375,2.6
253,back,Bottom,109,100.25,1.5083,0.6,2.1833,0.1667,0.4167,2.6
254,back,Bottom,110,101.1,1.5292,0.6,2.1417,0.2083,0.4583,2.6
255,back,Bottom,111,101.95,1.55,0.6,2.1,0.25,0.5,2.6
256,back,Bottom,112,102.8,1.5708,0.6,2.0583,0.2917,0.5417,2.6
257,back,Bottom,113,103.65,1.5917,0.6,2.0167,0.3333,0.5833,2.6
258,back,Bottom,114,104.5,1.6125,0.6,1.975,0.375,0.625,2.6
259,back,Bottom,115,105.35,1.6333,0.6,1.9333,0.4167,0.6667,2.6
260,back,Bottom,116,106.2,1.6542,0.6,1.8917,0.4583,0.7083,2.6
261,back,Bottom,117,107.05,1.675,0.6,1.85,0.5,0.75,2.6
262,back,Bottom,118,107.9,1.675,0.6,1.85,0.5,0.75,2.6
263,back,Bottom,119,108.75,1.675,0.6,1.85,0.5,0.75,2.6
264,back,Bottom,120,109.6,1.675,0.6,1.85,0.5,0.75,2.6
265,back,Bottom,121,110.45,1.675,0.6,1.85,0.5,0.75,2.6
266,back,Bottom,122,111.3,1.675,0.6,1.85,0.5,0.75,2.6
267,back,Bottom,123,112.15,1.675,0.6,1.85,0.5,0.75,2.6
268,back,Bottom,124,113.0,1.675,0.6,1.85,0.5,0.75,2.6
269,back,Bottom,125,113.85,1.675,0.6,1.85,0.5,0.75,2.6
270,back,Bottom,126,114.7,1.675,0.6,1.85,0.5,0.75,2.6
271,back,Bottom,127,115.55,1.675,0.6,1.85,0.5,0.75,2.6
272,back,Bottom,128,116.4,1.675,0.6,1.85,0.5,0.75,2.6
273,back,Bottom,129,117.25,1.675,0.6,1.85,0.5,0.75,2.6
274,back,Bottom,130,118.1,1.675,0.6,1.85,0.5,0.75,2.6
275,back,Bottom,131,118.95,1.675,0.6,1.85,0.5,0.75,2.6
276,back,Bottom,132,119.8,1.675,0.6,1.85,0.5,0.75,2.6
277,back,Bottom,133,120.65,1.675,0.6,1.85,0.5,0.75,2.6
278,back,Bottom,134,121.5,1.675,0.6,1.85,0.5,0.75,2.6
279,back,Bottom,135,122.35,1.675,0.6,1.85,0.5,0.75,2.6
280,back,Bottom,136,123.2,1.675,0.6,1.85,0.5,0.75,2.6
281,back,Bottom,137,124.05,1.675,0.6,1.85,0.5,0.75,2.6
282,back,Bottom,138,124.9,1.675,0.6,1.85,0.5,0.75,2.6
283,back,Bottom,139,125.75,1.675,0.6,1.85,0.5,0.75,2.6
284,back,Bottom,140,126.6,1.675,0.6,1.85,0.5,0.75,2.6
285,back,Bottom,141,127.45,1.675,0.6,1.85,0.5,0.75,2.6
286,back,Bottom,142,128.3,1.675,0.6,1.85,0.5,0.75,2.6
287,back,Bottom,143,129.15,1.675,0.6,1.85,0.5,0.75,2.6
288,back,Bottom,144,130.0,1.675,0.6,1.85,0.5,0.75,2.6
